date,vaccine,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,mean7d,inzmean7d,prct,prctSumTotal,prct_mean7d,geoRegion,type,type_variant,data_completeness,version
2021-05-14,moderna,fully_vaccinated,0,34,660002,0,NA,0.57,0.09,0,14.53,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-15,moderna,fully_vaccinated,0,34,669243,0,NA,0.57,0.09,NA,14.53,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-16,moderna,fully_vaccinated,1,35,671056,0.15,NA,0.86,0.13,100,14.89,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-17,moderna,fully_vaccinated,1,36,691161,0.14,NA,0.71,0.1,20,15,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-18,moderna,fully_vaccinated,1,37,715659,0.14,NA,0.71,0.1,16.67,15.04,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-19,moderna,fully_vaccinated,2,39,739333,0.27,NA,0.71,0.1,100,15.73,33.81,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-20,moderna,fully_vaccinated,0,39,768575,0,NA,0.71,0.09,0,15.66,33.81,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-21,moderna,fully_vaccinated,0,39,793621,0,NA,0.57,0.07,0,15.48,30.95,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-22,moderna,fully_vaccinated,0,39,805255,0,NA,0.57,0.07,0,15.42,33.33,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-23,moderna,fully_vaccinated,1,40,809759,0.12,NA,0.29,0.04,100,15.75,19.05,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-24,moderna,fully_vaccinated,0,40,818458,0,NA,0.43,0.05,0,15.62,22.62,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-25,moderna,fully_vaccinated,1,41,843866,0.12,NA,0.43,0.05,33.33,15.83,22.62,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-26,moderna,fully_vaccinated,0,41,870393,0,NA,0.57,0.07,0,15.77,36.9,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-27,moderna,fully_vaccinated,1,42,899274,0.11,NA,0.43,0.05,25,15.91,22.62,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-28,moderna,fully_vaccinated,0,42,930016,0,NA,0.57,0.06,0,15.73,27.38,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-29,moderna,fully_vaccinated,1,43,946254,0.11,NA,0.43,0.05,100,16.04,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-30,moderna,fully_vaccinated,0,43,952233,0,NA,0.43,0.05,0,15.93,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-05-31,moderna,fully_vaccinated,1,44,976134,0.1,NA,0.29,0.03,33.33,16.12,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-01,moderna,fully_vaccinated,0,44,1005157,0,NA,0.43,0.04,NA,16.12,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-02,moderna,fully_vaccinated,0,44,1038066,0,NA,0.29,0.03,0,16.06,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-03,moderna,fully_vaccinated,0,44,1070363,0,NA,0.29,0.03,0,16,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-04,moderna,fully_vaccinated,1,45,1108636,0.09,NA,0.14,0.01,33.33,16.19,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-05,moderna,fully_vaccinated,0,45,1127289,0,NA,0.14,0.01,0,16.07,4.76,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-06,moderna,fully_vaccinated,0,45,1135360,0,NA,0.29,0.03,0,16.01,9.52,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-07,moderna,fully_vaccinated,0,45,1170420,0,NA,0.29,0.02,0,15.96,9.52,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-08,moderna,fully_vaccinated,0,45,1211164,0,NA,0.14,0.01,0,15.85,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-09,moderna,fully_vaccinated,1,46,1250339,0.08,NA,0.29,0.02,33.33,16.03,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-10,moderna,fully_vaccinated,0,46,1282249,0,NA,0.29,0.02,0,15.97,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-11,moderna,fully_vaccinated,0,46,1318403,0,NA,0.43,0.03,NA,15.97,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-12,moderna,fully_vaccinated,1,47,1339165,0.07,NA,0.57,0.04,100,16.26,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-13,moderna,fully_vaccinated,0,47,1349324,0,NA,0.43,0.03,0,16.15,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-14,moderna,fully_vaccinated,1,48,1383501,0.07,NA,0.43,0.03,50,16.38,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-15,moderna,fully_vaccinated,1,49,1424934,0.07,NA,0.43,0.03,100,16.67,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-16,moderna,fully_vaccinated,0,49,1469916,0,NA,0.29,0.02,NA,16.67,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-17,moderna,fully_vaccinated,0,49,1517445,0,NA,0.29,0.02,NA,16.67,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-18,moderna,fully_vaccinated,0,49,1563346,0,NA,0.14,0.01,NA,16.67,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-19,moderna,fully_vaccinated,0,49,1585379,0,NA,0,0,NA,16.67,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-20,moderna,fully_vaccinated,0,49,1594254,0,NA,0,0,NA,16.67,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-21,moderna,fully_vaccinated,0,49,1630868,0,NA,0,0,0,16.61,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-22,moderna,fully_vaccinated,0,49,1675567,0,NA,0,0,0,16.55,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-23,moderna,fully_vaccinated,0,49,1721545,0,NA,0,0,NA,16.55,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-24,moderna,fully_vaccinated,0,49,1769068,0,NA,0,0,0,16.5,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-25,moderna,fully_vaccinated,0,49,1813549,0,NA,0,0,0,16.44,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-26,moderna,fully_vaccinated,0,49,1836521,0,NA,0,0,NA,16.44,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-27,moderna,fully_vaccinated,0,49,1846379,0,NA,0,0,NA,16.44,NA,CHFL,COVID19Hosp,vaccine,limited,2021-11-25_07-51-54
2021-06-28,moderna,fully_vaccinated,0,49,1889313,0,NA,0,0,NA,16.44,NA,CHFL,COVID19Hosp,vaccine,intermediate,2021-11-25_07-51-54
2021-06-29,moderna,fully_vaccinated,0,49,1937134,0,NA,0,0,NA,16.44,NA,CHFL,COVID19Hosp,vaccine,intermediate,2021-11-25_07-51-54
2021-06-30,moderna,fully_vaccinated,0,49,1991514,0,NA,0,0,0,16.39,NA,CHFL,COVID19Hosp,vaccine,intermediate,2021-11-25_07-51-54
2021-07-01,moderna,fully_vaccinated,0,49,2039898,0,NA,0,0,NA,16.39,NA,CHFL,COVID19Hosp,vaccine,intermediate,2021-11-25_07-51-54
2021-07-02,moderna,fully_vaccinated,0,49,2090759,0,NA,0,0,NA,16.39,NA,CHFL,COVID19Hosp,vaccine,intermediate,2021-11-25_07-51-54
