date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version,timeframe_all
202114,unknown,partially_vaccinated,0,0,107,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202114,unknown,unknown,1,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,female,fully_vaccinated,8,37,444946,1.8,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,female,partially_vaccinated,3,40,303034,0.99,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,female,not_vaccinated,119,816,3639408,3.27,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,female,unknown,82,1241,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,male,fully_vaccinated,9,51,342832,2.63,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,male,partially_vaccinated,6,55,259576,2.31,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,male,not_vaccinated,152,1054,3719559,4.09,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,male,unknown,117,1502,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,unknown,fully_vaccinated,0,0,130,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,unknown,partially_vaccinated,0,0,102,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202115,unknown,unknown,0,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202116,female,fully_vaccinated,2,39,504740,0.4,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202116,female,partially_vaccinated,6,46,381604,1.57,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202116,female,not_vaccinated,109,925,3501044,3.11,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202116,female,unknown,91,1332,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202116,male,fully_vaccinated,12,63,393937,3.05,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202116,male,partially_vaccinated,6,61,331413,1.81,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202116,male,not_vaccinated,145,1199,3596617,4.03,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202116,male,unknown,120,1622,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202116,unknown,fully_vaccinated,0,0,144,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202116,unknown,partially_vaccinated,0,0,143,0,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202116,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202116,unknown,unknown,0,2,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202117,female,fully_vaccinated,10,49,563849,1.77,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202117,female,partially_vaccinated,5,51,473383,1.06,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202117,female,not_vaccinated,99,1024,3350156,2.96,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202117,female,unknown,92,1424,NA,NA,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
202117,male,fully_vaccinated,6,69,443311,1.35,NA,CHFL,COVID19Hosp,vaccine,all,limited,2021-11-25_07-51-54,TRUE
