date,sex,vaccination_status,entries,sumTotal,pop,inz_entries,inzsumTotal,geoRegion,type,type_variant,vaccine,data_completeness,version
202110,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202110,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202111,female,fully_vaccinated,0,5,273143,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202111,female,partially_vaccinated,3,30,172830,1.74,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202111,female,not_vaccinated,9,128,3941415,0.23,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202111,female,unknown,15,220,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202111,male,fully_vaccinated,1,3,204977,0.49,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202111,male,partially_vaccinated,3,24,138353,2.17,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202111,male,not_vaccinated,13,172,3978637,0.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202111,male,unknown,18,232,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202111,unknown,fully_vaccinated,0,0,63,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202111,unknown,partially_vaccinated,0,0,73,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202111,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202111,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202112,female,fully_vaccinated,1,6,312331,0.32,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202112,female,partially_vaccinated,0,30,195139,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202112,female,not_vaccinated,14,142,3879918,0.36,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202112,female,unknown,10,230,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202112,male,fully_vaccinated,1,4,235219,0.43,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202112,male,partially_vaccinated,4,28,160267,2.5,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202112,male,not_vaccinated,16,188,3926481,0.41,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202112,male,unknown,14,246,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202112,unknown,fully_vaccinated,0,0,68,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202112,unknown,partially_vaccinated,0,0,83,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202112,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202112,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202113,female,fully_vaccinated,0,6,349205,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202113,female,partially_vaccinated,1,31,217955,0.46,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202113,female,not_vaccinated,20,162,3820228,0.52,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202113,female,unknown,12,242,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202113,male,fully_vaccinated,1,5,264954,0.38,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202113,male,partially_vaccinated,3,31,180086,1.67,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202113,male,not_vaccinated,21,209,3876927,0.54,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202113,male,unknown,13,259,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202113,unknown,fully_vaccinated,0,0,73,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202113,unknown,partially_vaccinated,0,0,94,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202113,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202113,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202114,female,fully_vaccinated,2,8,398086,0.5,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202114,female,partially_vaccinated,1,32,235581,0.42,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202114,female,not_vaccinated,11,173,3753721,0.29,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202114,female,unknown,8,250,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202114,male,fully_vaccinated,0,5,303778,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202114,male,partially_vaccinated,2,33,199051,1,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202114,male,not_vaccinated,23,232,3819138,0.6,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202114,male,unknown,16,275,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202114,unknown,fully_vaccinated,0,0,82,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202114,unknown,partially_vaccinated,0,0,114,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202114,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202114,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202115,female,fully_vaccinated,2,10,444631,0.45,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202115,female,partially_vaccinated,1,33,302827,0.33,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202115,female,not_vaccinated,6,179,3639930,0.16,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202115,female,unknown,10,260,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202115,male,fully_vaccinated,1,6,342503,0.29,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202115,male,partially_vaccinated,2,35,259358,0.77,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202115,male,not_vaccinated,15,247,3720106,0.4,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202115,male,unknown,9,284,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202115,unknown,fully_vaccinated,0,0,129,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202115,unknown,partially_vaccinated,0,0,111,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202115,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202115,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202116,female,fully_vaccinated,2,12,504285,0.4,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202116,female,partially_vaccinated,0,33,381556,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202116,female,not_vaccinated,12,191,3501547,0.34,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202116,female,unknown,6,266,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202116,male,fully_vaccinated,3,9,393485,0.76,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202116,male,partially_vaccinated,0,35,331321,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202116,male,not_vaccinated,18,265,3597161,0.5,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202116,male,unknown,13,297,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202116,unknown,fully_vaccinated,0,0,143,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202116,unknown,partially_vaccinated,0,0,157,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202116,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202116,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202117,female,fully_vaccinated,1,13,563298,0.18,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202117,female,partially_vaccinated,0,33,473489,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202117,female,not_vaccinated,15,206,3350601,0.45,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202117,female,unknown,11,277,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202117,male,fully_vaccinated,3,12,442779,0.68,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202117,male,partially_vaccinated,3,38,418058,0.72,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202117,male,not_vaccinated,23,288,3461130,0.66,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202117,male,unknown,13,310,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202117,unknown,fully_vaccinated,0,0,157,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202117,unknown,partially_vaccinated,0,0,208,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202117,unknown,not_vaccinated,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202117,unknown,unknown,0,0,NA,NA,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202118,female,fully_vaccinated,1,14,636831,0.16,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202118,female,partially_vaccinated,0,33,570614,0,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
202118,female,not_vaccinated,8,214,3179943,0.25,NA,CHFL,COVID19Death,vaccine,all,limited,2021-11-10_07-50-19
